,price,percent_pro,all_comment,pic_comment,vid_comment,add_comment,pro_comment,mid_comment,con_comment
578,49.0,0.98,86.0,0.0,0.0,0.0,70.0,1.0,0.0
579,39.9,0.98,10000.0,0.0,0.0,20.0,4000.0,37.0,37.0
580,78.8,0.98,400.0,0.0,0.0,0.0,76.0,0.0,1.0
581,59.0,0.98,100000.0,316.0,0.0,400.0,80000.0,500.0,400.0
582,49.9,0.98,1000.0,0.0,0.0,3.0,600.0,3.0,5.0
583,59.9,0.98,600.0,0.0,0.0,0.0,100.0,2.0,1.0
584,55.0,0.98,200.0,1.0,0.0,0.0,100.0,1.0,1.0
585,16.0,0.98,30000.0,191.0,1.0,100.0,20000.0,100.0,100.0
586,54.9,0.9400000000000001,200.0,0.0,0.0,1.0,72.0,2.0,2.0
587,68.0,0.98,20000.0,63.0,2.0,64.0,10000.0,85.0,70.0
588,54.9,0.97,500.0,0.0,0.0,6.0,100.0,2.0,1.0
589,39.9,0.96,2000.0,0.0,0.0,13.0,500.0,11.0,6.0
590,39.9,0.98,20000.0,0.0,0.0,100.0,9000.0,70.0,100.0
591,79.9,0.98,10000.0,0.0,0.0,36.0,3000.0,23.0,21.0
592,32.9,0.98,1000.0,4.0,0.0,4.0,900.0,5.0,5.0
593,15.8,1.0,300.0,0.0,0.0,0.0,88.0,0.0,0.0
594,18.9,0.9500000000000001,1000.0,0.0,0.0,6.0,300.0,8.0,6.0
595,26.0,0.98,5000.0,0.0,0.0,9.0,1000.0,10.0,5.0
596,99.0,0.98,500.0,0.0,0.0,1.0,87.0,0.0,1.0
597,136.0,0.98,20000.0,63.0,2.0,64.0,10000.0,85.0,70.0
598,320.0,0.99,20000.0,38.0,0.0,76.0,10000.0,28.0,34.0
599,205.0,0.97,1000.0,0.0,0.0,7.0,400.0,4.0,7.0
600,88.0,1.0,59.0,0.0,0.0,0.0,15.0,0.0,0.0
601,49.9,0.99,20000.0,0.0,0.0,10.0,3000.0,13.0,4.0
602,39.0,0.9400000000000001,3000.0,0.0,0.0,17.0,800.0,20.0,28.0
603,25.9,0.97,1000.0,14.0,0.0,8.0,900.0,12.0,10.0
604,19.9,0.99,700.0,0.0,0.0,2.0,500.0,2.0,0.0
605,41.9,0.99,100000.0,459.0,0.0,100.0,40000.0,200.0,100.0
606,89.9,0.98,8000.0,0.0,0.0,42.0,4000.0,25.0,46.0
607,80.0,0.97,10000.0,0.0,0.0,18.0,2000.0,30.0,19.0
608,298.0,0.99,2000.0,0.0,0.0,12.0,1000.0,6.0,5.0
609,39.0,1.0,500.0,0.0,0.0,0.0,300.0,0.0,0.0
610,69.0,1.0,40.0,0.0,0.0,0.0,8.0,0.0,0.0
611,35.0,1.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0
612,109.0,0.98,100000.0,0.0,0.0,300.0,60000.0,300.0,600.0
613,39.9,0.98,50000.0,3.0,0.0,97.0,20000.0,100.0,100.0
614,59.9,0.97,4000.0,0.0,0.0,21.0,1000.0,18.0,20.0
615,28.0,0.97,300.0,0.0,0.0,0.0,86.0,1.0,1.0
616,139.0,0.98,10000.0,0.0,0.0,25.0,2000.0,18.0,21.0
617,89.0,0.97,700.0,0.0,0.0,3.0,100.0,0.0,4.0
618,23.0,0.98,20000.0,50.0,2.0,82.0,10000.0,96.0,99.0
619,169.0,0.98,400000.0,500.0,5.0,1000.0,200000.0,1000.0,1000.0
620,62.0,0.97,10000.0,0.0,0.0,18.0,2000.0,30.0,19.0
621,398.0,0.96,300.0,0.0,0.0,0.0,80.0,1.0,2.0
622,39.0,0.98,10000.0,128.0,0.0,41.0,7000.0,66.0,75.0
623,23.0,1.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0
624,149.9,0.96,10000.0,0.0,0.0,39.0,2000.0,26.0,57.0
625,136.0,1.0,38.0,0.0,0.0,0.0,11.0,0.0,0.0
626,79.9,0.96,2000.0,0.0,0.0,13.0,500.0,10.0,10.0
627,55.0,0.99,1000.0,0.0,0.0,7.0,1000.0,1.0,1.0
628,35.0,0.96,4000.0,73.0,0.0,7.0,2000.0,60.0,52.0
629,59.9,0.97,5000.0,77.0,0.0,17.0,2000.0,34.0,29.0
630,36.0,0.99,200.0,1.0,0.0,2.0,100.0,0.0,1.0
631,59.9,0.97,20000.0,0.0,0.0,78.0,10000.0,70.0,100.0
632,200.0,1.0,100.0,0.0,0.0,3.0,62.0,0.0,0.0
633,89.0,0.98,7000.0,170.0,0.0,18.0,6000.0,34.0,31.0
634,59.0,0.96,7000.0,272.0,0.0,5.0,7000.0,100.0,100.0
635,19.9,0.99,100000.0,0.0,0.0,600.0,70000.0,200.0,200.0
636,102.0,0.97,1000.0,0.0,0.0,2.0,200.0,0.0,5.0
637,9.0,0.98,30000.0,191.0,1.0,100.0,20000.0,100.0,100.0
638,39.9,0.96,10000.0,0.0,0.0,66.0,3000.0,63.0,70.0
639,65.9,0.98,8000.0,0.0,0.0,42.0,4000.0,25.0,46.0
640,4.9,0.9,300.0,0.0,0.0,1.0,89.0,3.0,6.0
641,58.0,0.97,3000.0,0.0,0.0,34.0,1000.0,9.0,18.0
642,8.4,0.97,10000.0,77.0,0.0,38.0,7000.0,83.0,79.0
643,55.0,0.97,2000.0,0.0,0.0,11.0,600.0,7.0,7.0
644,78.0,1.0,100.0,0.0,0.0,1.0,17.0,0.0,0.0
645,6.0,0.97,7000.0,0.0,0.0,20.0,2000.0,43.0,21.0
646,48.9,0.99,1000.0,0.0,0.0,5.0,500.0,2.0,4.0
647,31.9,0.97,100.0,0.0,0.0,0.0,43.0,0.0,1.0
648,29.9,0.99,10000.0,420.0,10.0,50.0,10000.0,48.0,48.0
649,28.0,0.99,1000.0,0.0,0.0,7.0,1000.0,1.0,1.0
650,17.8,0.97,900.0,0.0,0.0,2.0,100.0,0.0,5.0
651,88.0,0.98,10000.0,418.0,2.0,100.0,10000.0,96.0,100.0
652,128.0,0.97,800.0,0.0,0.0,3.0,200.0,3.0,3.0
653,49.9,0.9500000000000001,200.0,0.0,0.0,0.0,46.0,1.0,1.0
654,100.0,0.99,3000.0,0.0,0.0,23.0,1000.0,2.0,2.0
655,25.9,0.98,7000.0,29.0,0.0,35.0,4000.0,34.0,33.0
